sentence1,sentence2,matching
small brown wallet with a coin pocket in the library,brown small purse with a coin slot in the study hall,88
white wireless mouse with a dongle in the classroom,white computer mouse with a receiver in the lecture hall,85
black umbrella with a wrist strap in the park,black umbrella with a loop in the garden,87
red notebook with a hard cover in the office,red journal with a stiff cover in the workplace,90
silver bracelet with a clasp in the subway,silver charm bracelet with a lock in the train,88
black phone charger with a long cord in the library,black charger with an extended cable in the study hall,85
blue scarf with a check pattern in the classroom,blue checkered scarf in the lecture hall,87
black flashlight with a clip in the cafeteria,black torch with a hook in the dining hall,90
Found white sneakers with a logo in the library,white branded sneakers in the study hall,88
green folder with a pocket in the park,green binder with a sleeve in the garden,85
black hair tie with a bead in the subway,black elastic with a decoration in the train,87
silver pen with a clip in the cafeteria,silver pen with a holder in the dining hall,90
red thermos with a cap in the library,red insulated bottle with a lid in the study hall,88
blue laptop sleeve with a zipper in the classroom,blue laptop cover with a zip in the lecture hall,85
pair of black mittens with a string in the park,pair of black gloves with a cord in the garden,87
blue cardholder with a flap in the library,blue card case with a cover in the study hall,90
brown leather keychain with a loop in the cafeteria,brown keyholder with a ring in the dining hall,88
yellow raincoat with a zipper in the subway,yellow rain jacket with a zip in the train,85
black earbud case with a logo in the classroom,black earphone case with a brand mark in the lecture hall,87
Black backpack with mesh pocket in lecture hall,Black bag with netted pocket in classroom,90
Silver laptop with sticker on lid in library,Silver laptop with decal in study area,88
Red water bottle with flip-top in gym,Red bottle with flip cap at fitness center,92
Set of keys with green fob in cafeteria,Keys with green tag in dining hall,87
Pair of white earbuds in clear case in bus,White earphones in transparent case on bus,91
Brown leather wallet with logo in park,Brown wallet with emblem in park,89
Black smartwatch with rubber strap in classroom,Black fitness tracker with rubber band in lecture hall,90
Blue sunglasses with polarized lenses in coffee shop,Blue shades with polarized lenses in cafe,88
Green notebook with elastic band in lounge,Green journal with elastic strap in common room,87
Black umbrella with curved handle in subway,Black umbrella with hooked handle in train,91
Pair of gray sneakers with white laces in locker room,Gray trainers with white laces in gym,89
Silver necklace with star pendant in restroom,Silver necklace with star charm in bathroom,90
Black phone charger with LED indicator in library,Black charging cable with light in study room,88
Red scarf with tassels in hallway,Red scarf with fringes in corridor,87
Blue plastic lunchbox with compartments in kitchen,Blue lunch container with sections in break room,91
Silver USB drive with keyring in computer lab,Silver flash drive with loop in tech room,89
White hoodie with drawstrings in auditorium,White sweatshirt with cords in lecture hall,90
Black leather belt with square buckle in store,Black belt with square clasp in shop,88
Purple water bottle with handle in park,Purple bottle with grip in park,87
Gold stud earring in classroom,Gold stud earring in lecture hall,91
Blue ballpoint pen with logo in office,Blue pen with brand mark in workplace,89
Black wireless mouse in study room,Black computer mouse in library,90
White tote bag with canvas straps in cafe,White bag with canvas handles in coffee shop,88
Set of house keys with red tag in library,Keys with red tag in study area,87
Red lipstick in matte case in restroom,Red lip color in matte tube in bathroom,91
Green backpack with side pockets in classroom,Green bag with side compartments in lecture hall,89
Silver USB hub with four ports in lab,Silver USB splitter with ports in tech room,90
Black jacket with side pockets in cafeteria,Black coat with pockets in dining hall,88
Pair of blue socks with stripes in laundry room,Blue striped socks in washroom,87
Small brown wallet with snap button in park,Brown purse with snap closure in park,91
White earphones with mic in bus,Black earbuds with microphone in subway,60
Blue water bottle with logo in gym,Red bottle with sticker in fitness center,62
Silver keychain with car fob in lot,Black keychain with remote in street,65
Wireless earbuds in gray case in library,Black wireless earphones in case in study hall,68
Red backpack with front zipper in classroom,Blue bag with laptop pocket in lecture hall,70
Black smartphone with cracked screen in cafe,Silver phone with broken display in shop,75
Gold watch with leather band in lounge,Silver watch with metal strap in common room,60
Blue notebook with spiral binding in classroom,Green journal with clasp in library,62
Green umbrella with floral pattern in park,Black umbrella with logo in garden,65
Black gloves with touchscreen tips in bus,Red mittens in subway,68
Silver charger with short cable in office,Black power adapter in workplace,70
Sunglasses with soft case in cafe,Reading glasses in pouch in coffee shop,60
Brown purse with shoulder strap in library,Black handbag with strap in study area,62
White USB drive with cap in lab,Black flash drive in tech room,65
Gray hoodie with logo in classroom,Blue sweatshirt in lecture hall,68
Blue cardholder with logo in park,Black wallet with emblem in park,70
Prescription glasses with black frame in lounge,Contact lenses in case in common room,60
Silver ring with blue stone in cafeteria,Gold ring with gem in dining hall,62
Black cap with patch in gym,Red beanie in fitness center,65
Brown journal with ribbon in bus,Black planner in transport,68
Pink phone case with glitter in classroom,Clear phone case in lecture hall,70
Black duffel bag with shoe pocket in park,Green gym bag in park,60
Yellow highlighter with cap in library,Black marker in study room,62
Black remote with buttons in cafeteria,Silver remote in dining hall,65
Red scarf with polka dots in hallway,Blue scarf in corridor,68
Silver necklace with heart pendant in park,Gold chain in garden,70
Green lunchbox with handle in office,Blue lunch container in workplace,60
Bike lock with combination in bike rack,Bike helmet in street,62
White charger cable with clip in classroom,Black charging cord in lecture hall,65
Blue folder with clasp in library,Red binder in study room,68
Brown leather shoes with laces in gym,Black boots in fitness center,70
Black makeup bag with zipper in cafe,Toiletry kit in coffee shop,60
Red key with rubber grip in lounge,Silver keychain in common room,62
Gray beanie with logo in subway,Black cap in train,65
Black belt with gold buckle in restroom,Brown belt in bathroom,68
Purple water bottle with straw in park,Blue bottle in park,70
Gold drop earring in classroom,Silver stud in lecture hall,60
Blue pen with rubber grip in office,Black pen in workplace,62
Black smartwatch with silicone band in library,Silver fitness tracker in study room,65
White tote bag with logo in subway,Black bag in train,68
House keys with leather fob in park,Car keys in garden,70
Red lipstick with silver case in library,Lip balm in study hall,60
Green backpack with laptop slot in classroom,Black suitcase in lecture hall,62
Silver USB hub in lab,Black hard drive in tech room,65
Black jacket with zipper in cafeteria,Gray coat in dining hall,68
Blue socks with pattern in gym,Black socks in fitness center,70
Small brown wallet with coin pocket in library,Blue purse in study hall,60
White wireless mouse with dongle in classroom,Black keyboard in lecture hall,62
Black umbrella with wrist strap in park,Green umbrella in garden,65
Red notebook with hard cover in office,Blue journal in workplace,68
Silver bracelet with clasp in subway,Gold chain in train,70
Black phone charger with long cord in library,White charger in study room,60
Blue scarf with check pattern in classroom,Red scarf in lecture hall,62
Black flashlight with clip in cafeteria,Silver torch in dining hall,65
White sneakers with logo in library,Black trainers in study hall,68
Green folder with pocket in park,Black binder in garden,70
Black hair tie with bead in subway,Brown scrunchie in train,60
Silver pen with clip in cafeteria,Gold pen in dining hall,62
Red thermos with cap in library,Black mug in study room,65
Blue laptop sleeve with zipper in classroom,Black laptop cover in lecture hall,68
Pair of black mittens with string in park,Pair of gloves in garden,70
Blue cardholder with flap in library,Blue card case in study hall,60
Brown leather keychain with loop in cafeteria,Brown keyholder in dining hall,62
Yellow raincoat with zipper in subway,Yellow rain jacket in train,65
Black earbud case with logo in classroom,Black earphone case in lecture hall,68
Black iPhone with pop socket in park,Black iPhone with grip in garden,85
Blue water bottle with carabiner in classroom,Blue bottle with clip in lecture room,88
Silver keychain with bottle opener in gym,Silver keychain with tool in fitness center,87
Wireless earbuds in blue case in library,Blue-cased wireless earphones in study hall,90
Red backpack with front pocket in cafeteria,Red bag with zipper pocket in dining hall,89
Black phone with green case in subway,Black phone with lime cover in train,85
Gold watch with mesh band in lounge,Gold watch with metal strap in common room,88
Blue notebook with pen loop in classroom,Blue notebook with pen holder in lecture hall,87
Green umbrella with floral pattern in park,Green floral umbrella in garden,90
Black gloves with touchscreen tips in bus,Black touchscreen gloves on bus,88
Silver charger with braided cable in office,Silver braided charger in workplace,89
Sunglasses with leather case in cafe,Shades with case in coffee shop,85
Brown purse with shoulder strap in library,Brown handbag with strap in study area,87
White USB drive with lanyard in lab,White USB with strap in tech room,90
Gray hoodie with kangaroo pocket in classroom,Grey sweatshirt with pouch in lecture hall,88
Blue cardholder with logo in park,Blue card wallet with emblem in park,85
Prescription glasses with red case in lounge,Red-cased glasses in common room,87
Silver ring with black stone in cafeteria,Silver ring with dark gem in dining hall,90
Black cap with logo in gym,Black hat with emblem in fitness center,88
Brown journal with bookmark in bus,Brown notebook with ribbon in transport,85
Pink phone case with pop socket in classroom,Pink case with grip in lecture hall,87
Black duffel bag with shoe pocket in park,Black gym bag with shoe slot in park,90
Yellow highlighter with cap in library,Yellow marker with lid in study room,88
Black remote with red button in cafeteria,Dark remote with red key in dining hall,85
Red scarf with fringe in subway,Red fringed scarf in train,87
Silver necklace with cross pendant in park,Silver cross necklace in garden,90
Green lunchbox with handle in office,Green lunch container with grip in workplace,88
Bike lock with key in bike rack,Keyed bike lock at rack,85
White charger cable with clip in classroom,White charging cord with holder in lecture hall,87
Blue folder with clasp in library,Blue binder with clip in study room,90
Brown leather shoes with laces in gym,Brown laced shoes in fitness center,88
Black makeup bag with zipper in cafe,Black zippered cosmetic bag in coffee shop,85
Red key with rubber grip in lounge,Red key with soft grip in common room,87
Gray beanie with patch in library,Grey knit cap with badge in study hall,90
Black belt with gold buckle in classroom,Black belt with gold clasp in lecture hall,88
Purple water bottle with loop in park,Purple bottle with handle in park,85
Gold earring with drop in cafeteria,Gold dangling earring in dining hall,87
Blue pen with rubber grip in office,Blue pen with soft grip in workplace,90
Black smartwatch with silicone band in library,Black fitness tracker with rubber band in study room,88
White tote bag with logo in subway,White bag with brand emblem in train,85
House keys with leather fob in park,Keys with leather tag in garden,87
Red lipstick with silver case in library,Red lip color in silver tube in study hall,90
Green backpack with laptop slot in classroom,Green bag with laptop pocket in lecture hall,88
Silver USB hub with ports in lab,Silver USB splitter with ports in tech room,85
Black jacket with zipper in cafeteria,Black zip-up jacket in dining hall,87
Blue socks with pattern in gym,Blue patterned socks in fitness center,90
Small brown wallet with coin pocket in library,Brown small purse with coin slot in study hall,88
White wireless mouse with dongle in classroom,White computer mouse with receiver in lecture hall,85
Black umbrella with wrist strap in park,Black umbrella with loop in garden,87
Red notebook with hard cover in office,Red journal with stiff cover in workplace,90
Silver bracelet with clasp in subway,Silver charm bracelet with lock in train,88
Black phone charger with long cord in library,Black charger with extended cable in study hall,85
Blue scarf with check pattern in classroom,Blue checkered scarf in lecture hall,87
Black flashlight with clip in cafeteria,Black torch with hook in dining hall,90
White sneakers with logo in library,White branded sneakers in study hall,88
Black leather wallet with zipper in library,Blue nylon wallet in park,30
Blue water bottle with logo in gym,Red thermos in classroom,35
Silver keychain with car fob in cafeteria,Black keyring in subway,25
Wireless earbuds in white case in bus,Black wired headphones in lecture hall,40
Red backpack with laptop sleeve in classroom,Green duffel bag in gym,20
Black iPhone with cracked screen in park,Silver Samsung phone in library,45
Gold watch with leather strap in lounge,Black smartwatch in cafeteria,30
Blue notebook with spiral binding in study room,Green journal in office,35
Green umbrella with wooden handle in cafe,Black raincoat in hallway,15
Black gloves in subway platform,Red scarf in bus,25
Silver laptop charger in computer lab,Black USB drive in classroom,40
Black sunglasses with hard case in fountain area,Reading glasses in lounge,30
Brown purse with gold clasp in restroom,Black handbag in cafe,35
White USB drive with red cap in library,Black external drive in lab,25
Gray hoodie with logo in locker room,Blue jacket in park,45
Blue credit card holder near ATM,Black wallet in store,30
Prescription glasses with black frame in lecture hall,Contact lenses in restroom,20
Silver ring with blue stone on sidewalk,Gold necklace in gym,15
Black baseball cap with red logo in park,Red beanie in bus stop,35
Tangled earphones in bus,Bluetooth speaker in subway,25
Brown leather journal with strap in bookstore,Black planner in library,40
Pink phone case with glitter in cafeteria,Clear phone case in park,30
Black duffel bag with side pocket in gym,Green backpack in classroom,35
Yellow highlighter pen on library table,Black marker in lounge,25
Black remote control in lounge,Silver keychain in parking lot,20
Red scarf with white polka dots in hallway,Blue scarf in cafeteria,30
Silver necklace with heart pendant in classroom,Gold ring in park,15
Green plastic lunchbox in kitchen,Red thermos in break room,40
Black bike lock with combination in bike rack,Bike helmet in street,25
White charger cable with frayed end in study room,Black charger in office,35
Blue folder with papers in office,Red binder in library,30
Brown leather shoes in changing room,Black boots in gym,25
Black makeup bag in restroom,Toiletry kit in locker room,40
Red key with plastic tag in parking lot,Silver keychain in cafe,20
Gray beanie with logo in bus,Black cap in park,35
Black leather belt with silver buckle in store,Brown belt in restroom,30
Purple water bottle with straw in gym,Blue bottle in park,45
Gold earring on carpet in lounge,Silver stud in classroom,25
Blue pen with chewed cap in classroom,Black marker in library,30
Black smartwatch with cracked face in park,Silver fitness tracker in gym,35
White tote bag with floral pattern in cafe,Black handbag in shop,30
House keys with blue keychain in library,Car keys in parking lot,25
Red lipstick in gold case in restroom,Lip balm in purse,20
Green backpack with broken strap in hallway,Black suitcase in airport,15
Silver USB hub in computer lab,Black hard drive in office,30
Black jacket with hood in auditorium,Gray coat in library,35
Blue socks in laundry room,Black socks in gym,25
Small brown wallet with button clasp in park,Blue purse in cafe,30
White wireless mouse in office,Black keyboard in lab,35
Black umbrella with broken rib in subway,Green umbrella in bus,25
Red notebook with sticker in lounge,Blue journal in classroom,30
Silver bracelet with charms in gym,Gold chain in park,25
Black phone charger with short cord in classroom,White cable in library,35
Blue scarf with stripes in cafeteria,Red scarf in hallway,30
Black flashlight in parking lot,Silver torch in park,40
White sneakers with red laces in locker room,Black trainers in gym,35
Green folder with logo in study room,Black binder in office,30
Black hair tie with metal clip in restroom,Brown scrunchie in bathroom,25
Silver pen with logo in lecture hall,Gold pen in classroom,30
Red thermos with black lid in kitchen,Black mug in lounge,35
Blue laptop sleeve in bus,Black laptop case in classroom,30
Black mittens in park,Red scarf in garden,25
Blue plastic cardholder on sidewalk,Black wallet in cafe,40
Brown leather keychain in coffee shop,Silver keyholder in shop,30
Yellow raincoat with hood in hallway,Blue jacket in corridor,25
Silver earbud case with carabiner in gym,Black earphone case in library,35
Black iPhone with clear case in classroom,Silver iPhone with blue case in park,45
Blue water bottle with sticker in lounge,Red bottle with logo in gym,30
Silver keychain with remote in lot,Black keychain with fob in street,25
Wireless earbuds in gray case in subway,Black wired earphones in bus,40
Red backpack in lecture hall,Blue duffel bag in cafeteria,20
Black smartphone with cracked screen in cafe,Silver phone with clear case in library,45
Gold watch with metal strap in lounge,Black fitness tracker in gym,30
Blue notebook in study room,Green journal in classroom,35
Green umbrella in hallway,Black raincoat in cafeteria,15
Black gloves in bus,Red mittens in subway,25
Silver charger in office,Black USB drive in library,40
Sunglasses with soft case in park,Reading glasses in classroom,30
Brown purse in library,Black handbag in cafe,35
White USB drive in lab,Black flash drive in classroom,25
Gray hoodie in park,Blue sweatshirt in library,45
Blue cardholder in store,Black wallet in park,30
Prescription glasses in lounge,Contact lenses in bathroom,20
Silver ring in cafeteria,Gold necklace in gym,15
Black cap in bus,Red beanie in park,35
Brown journal in classroom,Black planner in library,40
Pink phone case in park,Clear phone case in cafeteria,30
Black duffel bag in locker room,Green backpack in gym,35
Yellow highlighter in classroom,Black marker in library,25